Surry 1	2546.00	849	810	PWR	180	713	21390	63664	12	22	1972	5	25	2012	5.00	25	2032	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Surry 2	2546.00	854	815	PWR	185	716	21480	96880	5	1	1973	1	29	2013	1.00	29	2033	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Zion 1	3224.00	1085	1040	PWR	186	295	8850	132172	6	1	1973	1	1	1998	0	0	0	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Fort Calhoun	1500.00	500	476	PWR	186	482	14460	96880	6	20	1973	8	9	2013	0	0	0	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Oconee 1	2568.00	886	846	PWR	187	715	21450	96880	7	15	1973	2	6	2033	2.00	6	2033	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Turkey Point 4	2300.00	726	693	PWR	189	715	21450	132172	9	7	1973	4	10	2013	4.00	10	2033	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Zion 2	3224.00	1085	1040	PWR	190	291	8730	132172	10	1	1973	1	1	1998	0	0	0	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Maine Yankee	2610.00	900	860	PWR	191	285	8550	132172	11	1	1973	8	1	1997	0	0	0	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Prairie Island 1	1650.00	557	525	PWR	192	716	21480	132172	12	16	1973	8	9	2013	8.00	9	2033	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
Kewaunee	1650.00	530	530	PWR	198	474	14220	132172	6	16	1974	12	21	2013	0	0	0	0	0	0	540	87	1998	3	21	21	54	1900	21	21	54	1968	21.5	21.5	56	1973	21.82	21.82	58	1978	29.42	29.42	58	1983	31.5	31.5	67	1988	34.26	34.26	74	1993	40.98	40.98	78	1998	45.4	45.4	87	2003	46.9	46.9	91	2008	45.96	45.96	91	2013
