Country,Unit,Current Status,Type,Model,Operator,Reactor Supplier,Const. Date,Grid Date,Shutdown Date,RUP [MWe],Latitude,Longitude
FINLAND,OLKILUOTO-1,Operational,BWR  ,"AA-III, BWR-250",TVO,ASEASTAL,1974-02-01,1978-09-02,,890,61.23666667,21.44222222
FINLAND,OLKILUOTO-2,Operational,BWR  ,"AA-III, BWR-250",TVO,ASEASTAL,1975-11-01,1980-02-18,,890,61.23666667,21.44222222
FINLAND,OLKILUOTO-3,Under Construction,PWR  ,EPR,TVO,AREVA,2005-08-12,,,1600,61.23666667,21.44222222
FRANCE,BELLEVILLE-1,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1980-05-01,1987-10-14,,1310,47.509722,2.875
FRANCE,BELLEVILLE-2,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1980-08-01,1988-07-06,,1310,47.509722,2.875
FRANCE,BLAYAIS-1,Operational,PWR  ,CP1,EDF,FRAM,1977-01-01,1981-06-12,,910,45.25611111,-0.69166667
FRANCE,BLAYAIS-2,Operational,PWR  ,CP1,EDF,FRAM,1977-01-01,1982-07-17,,910,45.25611111,-0.69166667
FRANCE,BLAYAIS-3,Operational,PWR  ,CP1,EDF,FRAM,1978-04-01,1983-08-17,,910,45.25611111,-0.69166667
FRANCE,BLAYAIS-4,Operational,PWR  ,CP1,EDF,FRAM,1978-04-01,1983-05-16,,910,45.25611111,-0.69166667
FRANCE,BUGEY-1,Permanent Shutdown,GCR  ,UNGG,EDF,FRAM,1965-12-01,1972-04-15,1994-05-27,540,45.79722222,5.27
FRANCE,BUGEY-2,Operational,PWR  ,CP0,EDF,FRAM,1972-11-01,1978-05-10,,910,45.79722222,5.27
FRANCE,BUGEY-3,Operational,PWR  ,CP0,EDF,FRAM,1973-09-01,1978-09-21,,910,45.79722222,5.27
FRANCE,BUGEY-4,Operational,PWR  ,CP0,EDF,FRAM,1974-06-01,1979-03-08,,880,45.79722222,5.27
FRANCE,BUGEY-5,Operational,PWR  ,CP0,EDF,FRAM,1974-07-01,1979-07-31,,880,45.79722222,5.27
FRANCE,CATTENOM-1,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1979-10-29,1986-11-13,,1300,49.415833,6.218056
FRANCE,CATTENOM-2,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1980-07-28,1987-09-17,,1300,49.415833,6.218056
FRANCE,CATTENOM-3,Operational,PWR  ,P4 REP 1300,EDF,FRAM,1982-06-15,1990-07-06,,1300,49.415833,6.218056
