Country,Reactor Unit,Type,Net Capacity (MWe),Status,Operator,Contstruction Date,Construction Year,First Criticality Date,First Grid Date,Commercial Date,Shutdown Date,UCF for 2013
Czechoslovakia,TEMELIN-2,PWR,1003,Operational,CEZ,2/1/87,1987,5/31/02,12/29/02,4/18/03,,84.8
Czechoslovakia,MOCHOVCE-3,PWR,440,Under Construction,"SE,plc",1/27/87,1987,8/20/16,9/5/16,11/9/16,,
Czechoslovakia,MOCHOVCE-4,PWR,440,Under Construction,"SE,plc",1/27/87,1987,8/20/17,9/5/17,11/9/17,,
Egypt,First NPP (Al Dabaa),WCR,600-100,,,2013/2014,,,,2018/2019,,
Finland,LOVIISA-1,PWR,496,Operational,FORTUMPH,5/1/71,1971,1/21/77,2/8/77,5/9/77,,93
Finland,LOVIISA-2,PWR,496,Operational,FORTUMPH,8/1/72,1972,10/17/80,11/4/80,1/5/81,,93.7
Finland,OLKILUOTO-1,BWR,880,Operational,TVO,2/1/74,1974,7/21/78,9/2/78,10/10/79,,97.4
Finland,OLKILUOTO-2,BWR,880,Operational,TVO,11/1/75,1975,10/13/79,2/18/80,7/10/82,,93.1
Finland,OLKILUOTO-3,PWR,1600,Under Construction,TVO,8/12/05,2005,,,1/1/16,,
France,G-2 (MARCOULE),GCR,39,Permanent Shutdown,COGEMA,3/1/55,1955,7/21/58,4/22/59,4/22/59,2/2/80,
France,G-3 (MARCOULE),GCR,40,Permanent Shutdown,COGEMA,3/1/56,1956,6/11/59,4/4/60,4/4/60,6/20/84,
France,CHINON A-1,GCR,70,Permanent Shutdown,EDF,2/1/57,1957,9/16/62,6/14/63,2/1/64,4/16/73,
France,CHINON A-2,GCR,180,Permanent Shutdown,EDF,8/1/59,1959,8/17/64,2/24/65,2/24/65,6/14/85,
France,CHINON A-3,GCR,360,Permanent Shutdown,EDF,3/1/61,1961,3/1/66,8/4/66,8/4/66,6/15/90,
France,CHOOZ-A (ARDENNES),PWR,305,Permanent Shutdown,SENA,1/1/62,1962,10/18/66,4/3/67,4/15/67,10/30/91,
France,EL-4 (MONTS D'ARREE),HWGCR,70,Permanent Shutdown,EDF,7/1/62,1962,12/23/66,7/9/67,6/1/68,7/31/85,
France,ST. LAURENT A-1,GCR,390,Permanent Shutdown,EDF,10/1/63,1963,1/7/69,3/14/69,6/1/69,4/18/90,
France,BUGEY-1,GCR,540,Permanent Shutdown,EDF,12/1/65,1965,3/21/72,4/15/72,7/1/72,5/27/94,
France,ST. LAURENT A-2,GCR,465,Permanent Shutdown,EDF,1/1/66,1966,7/4/71,8/9/71,11/1/71,5/27/92,
France,PHENIX,FBR,130,Operational,CEA/EDF,11/1/68,1968,8/31/73,12/13/73,7/14/74,2/1/10 23:59,0
France,FESSENHEIM-1,PWR,880,Operational,EDF,9/1/71,1971,3/7/77,4/6/77,1/1/78,,60.2
France,FESSENHEIM-2,PWR,880,Operational,EDF,2/1/72,1972,6/27/77,10/7/77,4/1/78,,66.2
France,BUGEY-2,PWR,910,Operational,EDF,11/1/72,1972,4/20/78,5/10/78,3/1/79,,61.2
France,BUGEY-3,PWR,910,Operational,EDF,9/1/73,1973,8/31/78,9/21/78,3/1/79,,55.4
France,BUGEY-4,PWR,880,Operational,EDF,6/1/74,1974,2/17/79,3/8/79,7/1/79,,96.2
France,BUGEY-5,PWR,880,Operational,EDF,7/1/74,1974,7/15/79,7/31/79,1/3/80,,67.8
France,TRICASTIN-1,PWR,915,Operational,EDF,11/1/74,1974,2/21/80,5/31/80,12/1/80,,76.7
France,TRICASTIN-2,PWR,915,Operational,EDF,12/1/74,1974,7/22/80,8/7/80,12/1/80,,73.8
France,DAMPIERRE-1,PWR,890,Operational,EDF,2/1/75,1975,3/15/80,3/23/80,9/10/80,,66.3
France,GRAVELINES-1,PWR,910,Operational,EDF,2/1/75,1975,2/21/80,3/13/80,11/25/80,,75.1
France,GRAVELINES-2,PWR,910,Operational,EDF,3/1/75,1975,8/2/80,8/26/80,12/1/80,,51.9
France,DAMPIERRE-2,PWR,890,Operational,EDF,4/1/75,1975,12/5/80,12/10/80,2/16/81,,88.7
France,TRICASTIN-3,PWR,915,Operational,EDF,4/1/75,1975,11/29/80,2/10/81,5/11/81,,87.9
France,TRICASTIN-4,PWR,915,Operational,EDF,5/1/75,1975,5/31/81,6/12/81,11/1/81,,87.2
France,DAMPIERRE-3,PWR,890,Operational,EDF,9/1/75,1975,1/25/81,1/30/81,5/27/81,,65.8
France,DAMPIERRE-4,PWR,890,Operational,EDF,12/1/75,1975,8/5/81,8/18/81,11/20/81,,90.3
France,GRAVELINES-3,PWR,910,Operational,EDF,12/1/75,1975,11/30/80,12/12/80,6/1/81,,82.6
France,GRAVELINES-4,PWR,910,Operational,EDF,4/1/76,1976,5/31/81,6/14/81,10/1/81,,80.4
France,ST. LAURENT B-1,PWR,915,Operational,EDF,5/1/76,1976,1/4/81,1/21/81,8/1/83,,64.4
France,ST. LAURENT B-2,PWR,915,Operational,EDF,7/1/76,1976,5/12/81,6/1/81,8/1/83,,44.4
France,SUPER-PHENIX,FBR,1200,Permanent Shutdown,EDF,12/13/76,1976,9/7/85,1/14/86,12/1/86,12/31/98,
France,BLAYAIS-1,PWR,910,Operational,EDF,1/1/77,1977,5/20/81,6/12/81,12/1/81,,86.9
